"region","basin","sub_basin","year","total_surveyed_area","vegetation","area","veg_percent_of_total_area","y_on_y_veg_area_change","y_on_y_veg_percent_change","standardised_score"
"Dry Tropics","Black","Black","remnant_2005",37.27453,"Mangroves and Saltmarshes Combined",1190.5,31.93966,-5,-0.42,45
"Dry Tropics","Black","Black","remnant_2006",37.27453,"Mangroves and Saltmarshes Combined",1189.6,31.91356,-1,-0.08,64
"Dry Tropics","Black","Black","remnant_2006b",37.27453,"Mangroves and Saltmarshes Combined",1189.6,31.91356,0,0,80
"Dry Tropics","Black","Black","remnant_2007",37.27453,"Mangroves and Saltmarshes Combined",1186.9,31.84213,-2.7,-0.22,55
"Dry Tropics","Black","Black","remnant_2009",37.27453,"Mangroves and Saltmarshes Combined",1186.9,31.84213,0,0,80
"Dry Tropics","Black","Black","remnant_2011",37.27453,"Mangroves and Saltmarshes Combined",1186.9,31.84213,0,0,80
"Dry Tropics","Black","Black","remnant_2013",37.27453,"Mangroves and Saltmarshes Combined",1186.9,31.84213,0,0,80
"Dry Tropics","Black","Black","remnant_2015",37.27453,"Mangroves and Saltmarshes Combined",1186.1,31.82197,-0.8,-0.06,68
"Dry Tropics","Black","Black","remnant_2017",37.27453,"Mangroves and Saltmarshes Combined",1186.2,31.82381,0.1,0.01,81
"Dry Tropics","Black","Black","remnant_2019",37.27453,"Mangroves and Saltmarshes Combined",1186.2,31.82381,0,0,80
