Region,BasinOrZone,SubBasinOrSubZone,FinalScore,BarrierClassification,geom
Dry Tropics,Black,Rollingstone Creek,195,2,"c(441300.619730766, 7889884.2216029)"
Dry Tropics,Black,Rollingstone Creek,110,3,"c(440351.735553718, 7890184.16680847)"
Dry Tropics,Black,Rollingstone Creek,111.71302798123912,3,"c(441253.226493317, 7891313.40267665)"
Dry Tropics,Black,Rollingstone Creek,300.5638630198166,4.3,"c(443596.936219545, 7888172.61436146)"
Dry Tropics,Black,Rollingstone Creek,110,3,"c(438570.460593517, 7887054.17093454)"
Dry Tropics,Black,Rollingstone Creek,110,3,"c(443480.122851369, 7888106.76355143)"
Dry Tropics,Black,Rollingstone Creek,195,3,"c(443361.767031166, 7888056.72931934)"
Dry Tropics,Black,Rollingstone Creek,10,4.3,"c(445382.72725111, 7886576.72736682)"
Dry Tropics,Black,Rollingstone Creek,110,3,"c(445112.617125267, 7886178.26761445)"
Dry Tropics,Black,Rollingstone Creek,185,4.3,"c(445558.127356989, 7887484.8064799)"
Dry Tropics,Black,Rollingstone Creek,210,4.3,"c(446679.91985132, 7885342.67748721)"
Dry Tropics,Black,Rollingstone Creek,110,3,"c(445864.407920436, 7883945.34158238)"
Dry Tropics,Ross,Ross River (Lower),50.11948359988418,4.3,"c(479992.39256732, 7869365.64517451)"
Dry Tropics,Ross,Ross River (Lower),110,4.3,"c(479531.238205344, 7869113.71944405)"
Dry Tropics,Ross,Ross River (Lower),10.030757532028534,4.3,"c(480967.288986371, 7870462.41966437)"
Dry Tropics,Ross,Ross River (Lower),34.52864836535161,4.3,"c(480909.116391006, 7870352.08617364)"
Dry Tropics,Ross,Ross River (Lower),93.80281821371176,4.3,"c(480846.324951006, 7870013.19923991)"
Dry Tropics,Ross,Ross River (Lower),100,4,"c(481859.479379851, 7871086.58234911)"
Dry Tropics,Ross,Ross River (Lower),95,4,"c(481804.52645615, 7870975.58995477)"
Dry Tropics,Ross,Ross River (Lower),200,4.3,"c(478007.55425909, 7872504.5977294)"
Dry Tropics,Ross,Ross River (Lower),195,4.3,"c(477771.137073197, 7871919.50812694)"
Dry Tropics,Ross,Ross River (Lower),210,4.3,"c(477524.43325484, 7871294.26648543)"
Dry Tropics,Ross,Ross River (Lower),110,4.3,"c(479253.704521423, 7865381.78312932)"
Dry Tropics,Ross,Ross River (Lower),177.87319695905464,4.3,"c(474911.693622074, 7865097.29391344)"
Dry Tropics,Ross,Ross River (Lower),141.66596202534487,1,"c(472317.439040402, 7864067.7333897)"
Dry Tropics,Ross,Ross River (Lower),120.15414236846175,4.3,"c(475666.035263663, 7864021.83396099)"
Dry Tropics,Ross,Ross River (Lower),210,4.3,"c(471498.808017656, 7862860.04982445)"
Dry Tropics,Ross,Ross River (Lower),34.90672830411225,4,"c(478577.185568227, 7865872.41116469)"
Dry Tropics,Ross,Ross River (Lower),41.50441912126723,1,"c(476982.50967705, 7865497.99680845)"
Dry Tropics,Ross,Ross River (Lower),30.49903295047327,4.3,"c(476043.304431885, 7864392.52589579)"
Dry Tropics,Ross,Ross River (Lower),31.20970473388859,4.3,"c(476395.59961616, 7864779.27420455)"
Dry Tropics,Ross,Ross River (Lower),57.1340115724839,4,"c(478452.244256042, 7865918.34795358)"
Dry Tropics,Ross,Ross River (Lower),222.82432389199795,4.3,"c(480540.117565456, 7867752.86559056)"
