Region,Basin,SubBasin,Landuse,Year,TotalAreaKm2,LanduseKm2,LanduseProportionOfTotalPercent,AreaChangeYearToYear,PercentageChangeYearToYear,XyearToXyear
Burdekin,NA,NA,Conservation,1999,137677.3,6136.9,4.5,0,0,1999 to 1999
Burdekin,NA,NA,Conservation,2009,138172.3,7666,5.5,1529.1,24.9,2009 to 1999
Burdekin,NA,NA,Conservation,2016,137390.5,8475.8,6.2,809.7,10.6,2016 to 2009
Burdekin,NA,NA,Conservation,2021,134183.7,11427.4,8.5,2951.6,34.8,2021 to 2016
Dry Tropics,NA,NA,Conservation,1999,2934.1,835.1,28.5,0,0,1999 to 1999
Dry Tropics,NA,NA,Conservation,2009,2936.9,980.9,33.4,145.8,17.5,2009 to 1999
Dry Tropics,NA,NA,Conservation,2016,2934.5,1025.9,35,45,4.6,2016 to 2009
Dry Tropics,NA,NA,Conservation,2021,2902.1,1030.8,35.5,4.8,0.5,2021 to 2016
Mackay Whitsunday Isaac,NA,NA,Conservation,1999,13270.8,3050.9,23,0,0,1999 to 1999
Mackay Whitsunday Isaac,NA,NA,Conservation,2009,13222.8,3116.8,23.6,65.9,2.2,2009 to 1999
Mackay Whitsunday Isaac,NA,NA,Conservation,2016,13215.7,3224.1,24.4,107.3,3.4,2016 to 2009
Mackay Whitsunday Isaac,NA,NA,Conservation,2021,13114.9,2331,17.8,-893.1,-27.7,2021 to 2016
Wet Tropics,NA,NA,Conservation,1999,22793,7204.6,31.6,0,0,1999 to 1999
Wet Tropics,NA,NA,Conservation,2009,22721.2,9995.4,44,2790.8,38.7,2009 to 1999
Wet Tropics,NA,NA,Conservation,2015,22687.3,11054.9,48.7,1059.5,10.6,2015 to 2009
Wet Tropics,NA,NA,Conservation,2021,22153.6,10992.8,49.6,-62.1,-0.6,2021 to 2015
Burdekin,NA,NA,Dryland Agriculture,1999,137677.3,1223.1,0.9,0,0,1999 to 1999
Burdekin,NA,NA,Dryland Agriculture,2009,138172.3,1276.3,0.9,53.2,4.4,2009 to 1999
Burdekin,NA,NA,Dryland Agriculture,2016,137390.5,1346.2,1,69.9,5.5,2016 to 2009
Burdekin,NA,NA,Dryland Agriculture,2021,134183.7,1376,1,29.8,2.2,2021 to 2016
Dry Tropics,NA,NA,Dryland Agriculture,1999,2934.1,2.6,0.1,0,0,1999 to 1999
Dry Tropics,NA,NA,Dryland Agriculture,2009,2936.9,3.5,0.1,0.8,31.3,2009 to 1999
Dry Tropics,NA,NA,Dryland Agriculture,2016,2934.5,3.2,0.1,-0.3,-8.1,2016 to 2009
Dry Tropics,NA,NA,Dryland Agriculture,2021,2902.1,1.7,0.1,-1.4,-45.2,2021 to 2016
Mackay Whitsunday Isaac,NA,NA,Dryland Agriculture,1999,13270.8,4,0,0,0,1999 to 1999
Mackay Whitsunday Isaac,NA,NA,Dryland Agriculture,2009,13222.8,66.8,0.5,62.7,1551.7,2009 to 1999
Mackay Whitsunday Isaac,NA,NA,Dryland Agriculture,2016,13215.7,9.6,0.1,-57.2,-85.7,2016 to 2009
Mackay Whitsunday Isaac,NA,NA,Dryland Agriculture,2021,13114.9,15.1,0.1,5.5,58.1,2021 to 2016
Wet Tropics,NA,NA,Dryland Agriculture,1999,22793,1917.6,8.4,0,0,1999 to 1999
Wet Tropics,NA,NA,Dryland Agriculture,2009,22721.2,1901.8,8.4,-15.8,-0.8,2009 to 1999
Wet Tropics,NA,NA,Dryland Agriculture,2015,22687.3,1816.5,8,-85.3,-4.5,2015 to 2009
Wet Tropics,NA,NA,Dryland Agriculture,2021,22153.6,1850.8,8.4,34.3,1.9,2021 to 2015
Burdekin,NA,NA,Forestry,1999,137677.3,1223.3,0.9,0,0,1999 to 1999
Burdekin,NA,NA,Forestry,2009,138172.3,858,0.6,-365.3,-29.9,2009 to 1999
Burdekin,NA,NA,Forestry,2016,137390.5,787.8,0.6,-70.2,-8.2,2016 to 2009
Burdekin,NA,NA,Forestry,2021,134183.7,788.7,0.6,0.8,0.1,2021 to 2016
Dry Tropics,NA,NA,Forestry,1999,2934.1,251.7,8.6,0,0,1999 to 1999
Dry Tropics,NA,NA,Forestry,2009,2936.9,123.1,4.2,-128.7,-51.1,2009 to 1999
Dry Tropics,NA,NA,Forestry,2016,2934.5,123,4.2,-0.1,-0.1,2016 to 2009
Dry Tropics,NA,NA,Forestry,2021,2902.1,123,4.2,-0,-0,2021 to 2016
Mackay Whitsunday Isaac,NA,NA,Forestry,1999,13270.8,936.3,7.1,0,0,1999 to 1999
Mackay Whitsunday Isaac,NA,NA,Forestry,2009,13222.8,859,6.5,-77.3,-8.3,2009 to 1999
Mackay Whitsunday Isaac,NA,NA,Forestry,2016,13215.7,736.8,5.6,-122.2,-14.2,2016 to 2009
Mackay Whitsunday Isaac,NA,NA,Forestry,2021,13114.9,730.1,5.6,-6.7,-0.9,2021 to 2016
Wet Tropics,NA,NA,Forestry,1999,22793,4388.7,19.3,0,0,1999 to 1999
Wet Tropics,NA,NA,Forestry,2009,22721.2,1675.2,7.4,-2713.5,-61.8,2009 to 1999
Wet Tropics,NA,NA,Forestry,2015,22687.3,589.7,2.6,-1085.5,-64.8,2015 to 2009
Wet Tropics,NA,NA,Forestry,2021,22153.6,646.3,2.9,56.6,9.6,2021 to 2015
Burdekin,NA,NA,Grazing,1999,137677.3,124779.6,90.6,0,0,1999 to 1999
Burdekin,NA,NA,Grazing,2009,138172.3,123954.1,89.7,-825.5,-0.7,2009 to 1999
Burdekin,NA,NA,Grazing,2016,137390.5,122322.4,89,-1631.7,-1.3,2016 to 2009
Burdekin,NA,NA,Grazing,2021,134183.7,116046.5,86.5,-6275.9,-5.1,2021 to 2016
Dry Tropics,NA,NA,Grazing,1999,2934.1,1398.9,47.7,0,0,1999 to 1999
Dry Tropics,NA,NA,Grazing,2009,2936.9,1350.3,46,-48.6,-3.5,2009 to 1999
Dry Tropics,NA,NA,Grazing,2016,2934.5,1289.9,44,-60.4,-4.5,2016 to 2009
Dry Tropics,NA,NA,Grazing,2021,2902.1,1252,43.1,-37.9,-2.9,2021 to 2016
Mackay Whitsunday Isaac,NA,NA,Grazing,1999,13270.8,6103,46,0,0,1999 to 1999
Mackay Whitsunday Isaac,NA,NA,Grazing,2009,13222.8,6023.5,45.6,-79.5,-1.3,2009 to 1999
Mackay Whitsunday Isaac,NA,NA,Grazing,2016,13215.7,6096.9,46.1,73.4,1.2,2016 to 2009
Mackay Whitsunday Isaac,NA,NA,Grazing,2021,13114.9,6847.3,52.2,750.4,12.3,2021 to 2016
Wet Tropics,NA,NA,Grazing,1999,22793,7355.8,32.3,0,0,1999 to 1999
Wet Tropics,NA,NA,Grazing,2009,22721.2,7229.1,31.8,-126.7,-1.7,2009 to 1999
Wet Tropics,NA,NA,Grazing,2015,22687.3,7319.8,32.3,90.7,1.3,2015 to 2009
Wet Tropics,NA,NA,Grazing,2021,22153.6,6678.9,30.1,-640.9,-8.8,2021 to 2015
Burdekin,NA,NA,Irrigated Agriculture,1999,137677.3,1016,0.7,0,0,1999 to 1999
Burdekin,NA,NA,Irrigated Agriculture,2009,138172.3,990.3,0.7,-25.7,-2.5,2009 to 1999
Burdekin,NA,NA,Irrigated Agriculture,2021,134183.7,1119.4,0.8,129.1,13,2021 to 2009
Burdekin,NA,NA,Irrigated Agriculture,2016,137390.5,983.5,0.7,-135.9,-12.1,2016 to 2021
Dry Tropics,NA,NA,Irrigated Agriculture,1999,2934.1,15.2,0.5,0,0,1999 to 1999
Dry Tropics,NA,NA,Irrigated Agriculture,2009,2936.9,14.6,0.5,-0.7,-4.4,2009 to 1999
Dry Tropics,NA,NA,Irrigated Agriculture,2016,2934.5,14.3,0.5,-0.3,-2.2,2016 to 2009
Dry Tropics,NA,NA,Irrigated Agriculture,2021,2902.1,31.1,1.1,16.8,117.9,2021 to 2016
Mackay Whitsunday Isaac,NA,NA,Irrigated Agriculture,1999,13270.8,1753.4,13.2,0,0,1999 to 1999
Mackay Whitsunday Isaac,NA,NA,Irrigated Agriculture,2009,13222.8,1662.9,12.6,-90.5,-5.2,2009 to 1999
Mackay Whitsunday Isaac,NA,NA,Irrigated Agriculture,2016,13215.7,1619.2,12.3,-43.7,-2.6,2016 to 2009
Mackay Whitsunday Isaac,NA,NA,Irrigated Agriculture,2021,13114.9,1756.7,13.4,137.5,8.5,2021 to 2016
Wet Tropics,NA,NA,Irrigated Agriculture,1999,22793,350.5,1.5,0,0,1999 to 1999
Wet Tropics,NA,NA,Irrigated Agriculture,2009,22721.2,323.2,1.4,-27.3,-7.8,2009 to 1999
Wet Tropics,NA,NA,Irrigated Agriculture,2015,22687.3,316.7,1.4,-6.4,-2,2015 to 2009
Wet Tropics,NA,NA,Irrigated Agriculture,2021,22153.6,593.7,2.7,277,87.4,2021 to 2015
Burdekin,NA,NA,Mining,1999,137677.3,87.4,0.1,0,0,1999 to 1999
Burdekin,NA,NA,Mining,2009,138172.3,126.3,0.1,38.9,44.5,2009 to 1999
Burdekin,NA,NA,Mining,2016,137390.5,150.8,0.1,24.5,19.4,2016 to 2009
Burdekin,NA,NA,Mining,2021,134183.7,214.2,0.2,63.4,42.1,2021 to 2016
Dry Tropics,NA,NA,Mining,1999,2934.1,7.5,0.3,0,0,1999 to 1999
Dry Tropics,NA,NA,Mining,2009,2936.9,9.4,0.3,2,26.6,2009 to 1999
Dry Tropics,NA,NA,Mining,2016,2934.5,10.8,0.4,1.3,13.9,2016 to 2009
Dry Tropics,NA,NA,Mining,2021,2902.1,10.8,0.4,0.1,0.7,2021 to 2016
Mackay Whitsunday Isaac,NA,NA,Mining,1999,13270.8,7.3,0.1,0,0,1999 to 1999
Mackay Whitsunday Isaac,NA,NA,Mining,2009,13222.8,9.1,0.1,1.8,24.3,2009 to 1999
Mackay Whitsunday Isaac,NA,NA,Mining,2016,13215.7,10.7,0.1,1.5,16.9,2016 to 2009
Mackay Whitsunday Isaac,NA,NA,Mining,2021,13114.9,11.2,0.1,0.5,4.7,2021 to 2016
Wet Tropics,NA,NA,Mining,1999,22793,8.9,0,0,0,1999 to 1999
Wet Tropics,NA,NA,Mining,2009,22721.2,10.9,0,1.9,21.4,2009 to 1999
Wet Tropics,NA,NA,Mining,2015,22687.3,11.5,0.1,0.7,6.2,2015 to 2009
Wet Tropics,NA,NA,Mining,2021,22153.6,13.1,0.1,1.6,14,2021 to 2015
Burdekin,NA,NA,Urban/Intensive,1999,137677.3,286.4,0.2,0,0,1999 to 1999
Burdekin,NA,NA,Urban/Intensive,2009,138172.3,370,0.3,83.6,29.2,2009 to 1999
Burdekin,NA,NA,Urban/Intensive,2016,137390.5,398.6,0.3,28.6,7.7,2016 to 2009
Burdekin,NA,NA,Urban/Intensive,2021,134183.7,301.7,0.2,-96.9,-24.3,2021 to 2016
Dry Tropics,NA,NA,Urban/Intensive,1999,2934.1,250.6,8.5,0,0,1999 to 1999
Dry Tropics,NA,NA,Urban/Intensive,2009,2936.9,284.9,9.7,34.3,13.7,2009 to 1999
Dry Tropics,NA,NA,Urban/Intensive,2016,2934.5,298.8,10.2,13.8,4.9,2016 to 2009
Dry Tropics,NA,NA,Urban/Intensive,2021,2902.1,285.7,9.8,-13,-4.4,2021 to 2016
Mackay Whitsunday Isaac,NA,NA,Urban/Intensive,1999,13270.8,466.9,3.5,0,0,1999 to 1999
Mackay Whitsunday Isaac,NA,NA,Urban/Intensive,2009,13222.8,534.8,4,67.8,14.5,2009 to 1999
Mackay Whitsunday Isaac,NA,NA,Urban/Intensive,2016,13215.7,566.2,4.3,31.4,5.9,2016 to 2009
Mackay Whitsunday Isaac,NA,NA,Urban/Intensive,2021,13114.9,449.3,3.4,-116.8,-20.6,2021 to 2016
Wet Tropics,NA,NA,Urban/Intensive,1999,22793,705.1,3.1,0,0,1999 to 1999
Wet Tropics,NA,NA,Urban/Intensive,2009,22721.2,745.8,3.3,40.7,5.8,2009 to 1999
Wet Tropics,NA,NA,Urban/Intensive,2015,22687.3,755.1,3.3,9.3,1.2,2015 to 2009
Wet Tropics,NA,NA,Urban/Intensive,2021,22153.6,538.1,2.4,-217,-28.7,2021 to 2015
Burdekin,NA,NA,Water,1999,137677.3,2924.7,2.1,0,0,1999 to 1999
Burdekin,NA,NA,Water,2009,138172.3,2931.3,2.1,6.6,0.2,2009 to 1999
Burdekin,NA,NA,Water,2016,137390.5,2925.4,2.1,-5.9,-0.2,2016 to 2009
Burdekin,NA,NA,Water,2021,134183.7,2909.9,2.2,-15.5,-0.5,2021 to 2016
Dry Tropics,NA,NA,Water,1999,2934.1,172.4,5.9,0,0,1999 to 1999
Dry Tropics,NA,NA,Water,2009,2936.9,170.3,5.8,-2.1,-1.2,2009 to 1999
Dry Tropics,NA,NA,Water,2016,2934.5,168.7,5.7,-1.5,-0.9,2016 to 2009
Dry Tropics,NA,NA,Water,2021,2902.1,167,5.8,-1.7,-1,2021 to 2016
Mackay Whitsunday Isaac,NA,NA,Water,1999,13270.8,948.9,7.2,0,0,1999 to 1999
Mackay Whitsunday Isaac,NA,NA,Water,2009,13222.8,949.8,7.2,0.9,0.1,2009 to 1999
Mackay Whitsunday Isaac,NA,NA,Water,2016,13215.7,952.2,7.2,2.4,0.3,2016 to 2009
Mackay Whitsunday Isaac,NA,NA,Water,2021,13114.9,974.1,7.4,21.9,2.3,2021 to 2016
Wet Tropics,NA,NA,Water,1999,22793,861.8,3.8,0,0,1999 to 1999
Wet Tropics,NA,NA,Water,2009,22721.2,839.9,3.7,-21.9,-2.5,2009 to 1999
Wet Tropics,NA,NA,Water,2015,22687.3,823.2,3.6,-16.8,-2,2015 to 2009
Wet Tropics,NA,NA,Water,2021,22153.6,839.9,3.8,16.7,2,2021 to 2015
Burdekin,Burdekin,NA,Conservation,1999,133517.7,5572.9,4.2,0,0,1999 to 1999
Burdekin,Burdekin,NA,Conservation,2009,134012.4,7081.3,5.3,1508.5,27.1,2009 to 1999
Burdekin,Burdekin,NA,Conservation,2016,133233.2,7879.7,5.9,798.4,11.3,2016 to 2009
Burdekin,Burdekin,NA,Conservation,2021,130114.9,10873.9,8.4,2994.2,38,2021 to 2016
Burdekin,Haughton,NA,Conservation,1999,4159.6,564.1,13.6,0,0,1999 to 1999
Burdekin,Haughton,NA,Conservation,2009,4159.8,584.7,14.1,20.7,3.7,2009 to 1999
Burdekin,Haughton,NA,Conservation,2016,4157.3,596.1,14.3,11.3,1.9,2016 to 2009
Burdekin,Haughton,NA,Conservation,2021,4068.8,553.5,13.6,-42.6,-7.1,2021 to 2016
Dry Tropics,Black,NA,Conservation,1999,1157.6,338.5,29.2,0,0,1999 to 1999
Dry Tropics,Black,NA,Conservation,2009,1156.8,482.1,41.7,143.6,42.4,2009 to 1999
Dry Tropics,Black,NA,Conservation,2016,1157.4,516.2,44.6,34.1,7.1,2016 to 2009
Dry Tropics,Black,NA,Conservation,2021,1145.9,492.6,43,-23.6,-4.6,2021 to 2016
Dry Tropics,Ross,NA,Conservation,1999,1776.5,496.6,28,0,0,1999 to 1999
Dry Tropics,Ross,NA,Conservation,2009,1780.1,498.8,28,2.2,0.4,2009 to 1999
Dry Tropics,Ross,NA,Conservation,2016,1777,509.7,28.7,10.9,2.2,2016 to 2009
Dry Tropics,Ross,NA,Conservation,2021,1756.2,538.1,30.6,28.4,5.6,2021 to 2016
Mackay Whitsunday Isaac,Don,NA,Conservation,1999,3922.2,230.5,5.9,0,0,1999 to 1999
Mackay Whitsunday Isaac,Don,NA,Conservation,2009,3874.2,243.8,6.3,13.3,5.8,2009 to 1999
Mackay Whitsunday Isaac,Don,NA,Conservation,2016,3867.1,230.8,6,-13,-5.3,2016 to 2009
Mackay Whitsunday Isaac,Don,NA,Conservation,2021,3752.8,207.3,5.5,-23.5,-10.2,2021 to 2016
Mackay Whitsunday Isaac,O'Connell,NA,Conservation,1999,2445.9,663.1,27.1,0,0,1999 to 1999
Mackay Whitsunday Isaac,O'Connell,NA,Conservation,2009,2445.9,691.1,28.3,28,4.2,2009 to 1999
Mackay Whitsunday Isaac,O'Connell,NA,Conservation,2016,2445.9,704.4,28.8,13.3,1.9,2016 to 2009
Mackay Whitsunday Isaac,O'Connell,NA,Conservation,2021,2446,511,20.9,-193.4,-27.5,2021 to 2016
Mackay Whitsunday Isaac,Pioneer,NA,Conservation,1999,1571.1,395.8,25.2,0,0,1999 to 1999
Mackay Whitsunday Isaac,Pioneer,NA,Conservation,2009,1571.1,386.8,24.6,-9,-2.3,2009 to 1999
Mackay Whitsunday Isaac,Pioneer,NA,Conservation,2016,1571.1,463.2,29.5,76.4,19.7,2016 to 2009
Mackay Whitsunday Isaac,Pioneer,NA,Conservation,2021,1574.7,335.7,21.3,-127.5,-27.5,2021 to 2016
Mackay Whitsunday Isaac,Plane,NA,Conservation,1999,2559.5,871.8,34.1,0,0,1999 to 1999
Mackay Whitsunday Isaac,Plane,NA,Conservation,2009,2559.5,872.8,34.1,1,0.1,2009 to 1999
Mackay Whitsunday Isaac,Plane,NA,Conservation,2016,2559.5,830.9,32.5,-41.9,-4.8,2016 to 2009
Mackay Whitsunday Isaac,Plane,NA,Conservation,2021,2569.8,400.3,15.6,-430.6,-51.8,2021 to 2016
Mackay Whitsunday Isaac,Proserpine,NA,Conservation,1999,2772.1,889.6,32.1,0,0,1999 to 1999
Mackay Whitsunday Isaac,Proserpine,NA,Conservation,2009,2772.1,922.3,33.3,32.7,3.7,2009 to 1999
Mackay Whitsunday Isaac,Proserpine,NA,Conservation,2016,2772.1,994.8,35.9,72.5,7.9,2016 to 2009
Mackay Whitsunday Isaac,Proserpine,NA,Conservation,2021,2771.6,876.7,31.6,-118.1,-11.9,2021 to 2016
Wet Tropics,Barron,NA,Conservation,1999,2381.9,227.6,9.6,0,0,1999 to 1999
Wet Tropics,Barron,NA,Conservation,2009,2368.8,633.3,26.7,405.7,178.2,2009 to 1999
Wet Tropics,Barron,NA,Conservation,2015,2385.5,788.6,33.1,155.2,24.5,2015 to 2009
Wet Tropics,Barron,NA,Conservation,2021,2193.2,766.7,35,-21.9,-2.8,2021 to 2015
Wet Tropics,Daintree,NA,Conservation,1999,2123.2,843.7,39.7,0,0,1999 to 1999
Wet Tropics,Daintree,NA,Conservation,2009,2120.5,938.8,44.3,95.1,11.3,2009 to 1999
Wet Tropics,Daintree,NA,Conservation,2015,2115.6,1824.3,86.2,885.5,94.3,2015 to 2009
Wet Tropics,Daintree,NA,Conservation,2021,2104.6,1815.1,86.2,-9.3,-0.5,2021 to 2015
Wet Tropics,Herbert,NA,Conservation,1999,10003.4,2616.3,26.2,0,0,1999 to 1999
Wet Tropics,Herbert,NA,Conservation,2009,9996.8,2908,29.1,291.8,11.2,2009 to 1999
Wet Tropics,Herbert,NA,Conservation,2015,9952.5,2912.3,29.3,4.3,0.1,2015 to 2009
Wet Tropics,Herbert,NA,Conservation,2021,9873.2,3063.7,31,151.4,5.2,2021 to 2015
Wet Tropics,Johnstone,NA,Conservation,1999,2460.7,697.3,28.3,0,0,1999 to 1999
Wet Tropics,Johnstone,NA,Conservation,2009,2457.4,1305.9,53.1,608.5,87.3,2009 to 1999
Wet Tropics,Johnstone,NA,Conservation,2015,2456.4,1326.4,54,20.5,1.6,2015 to 2009
Wet Tropics,Johnstone,NA,Conservation,2021,2317.8,1290.9,55.7,-35.5,-2.7,2021 to 2015
Wet Tropics,Mossman,NA,Conservation,1999,513.5,242.6,47.2,0,0,1999 to 1999
Wet Tropics,Mossman,NA,Conservation,2009,498,382.8,76.9,140.2,57.8,2009 to 1999
Wet Tropics,Mossman,NA,Conservation,2015,496,380.6,76.7,-2.2,-0.6,2015 to 2009
Wet Tropics,Mossman,NA,Conservation,2021,465.4,339.8,73,-40.8,-10.7,2021 to 2015
Wet Tropics,Mulgrave,NA,Conservation,1999,1333.4,698.6,52.4,0,0,1999 to 1999
Wet Tropics,Mulgrave,NA,Conservation,2009,1333.7,955.2,71.6,256.6,36.7,2009 to 1999
Wet Tropics,Mulgrave,NA,Conservation,2015,1333.4,954.5,71.6,-0.7,-0.1,2015 to 2009
Wet Tropics,Mulgrave,NA,Conservation,2021,1319.7,936.7,71,-17.8,-1.9,2021 to 2015
Wet Tropics,Murray,NA,Conservation,1999,1539.4,870.1,56.5,0,0,1999 to 1999
Wet Tropics,Murray,NA,Conservation,2009,1537.4,1100.9,71.6,230.9,26.5,2009 to 1999
Wet Tropics,Murray,NA,Conservation,2015,1538,1097.9,71.4,-3,-0.3,2015 to 2009
Wet Tropics,Murray,NA,Conservation,2021,1524.4,1086.7,71.3,-11.2,-1,2021 to 2015
Wet Tropics,Russell,NA,Conservation,1999,718.7,497.1,69.2,0,0,1999 to 1999
Wet Tropics,Russell,NA,Conservation,2009,695.9,497.6,71.5,0.5,0.1,2009 to 1999
Wet Tropics,Russell,NA,Conservation,2015,696.3,497.6,71.5,-0,-0,2015 to 2009
Wet Tropics,Russell,NA,Conservation,2021,670.6,474.3,70.7,-23.3,-4.7,2021 to 2015
Wet Tropics,Tully,NA,Conservation,1999,1718.8,511.3,29.7,0,0,1999 to 1999
Wet Tropics,Tully,NA,Conservation,2009,1712.6,1272.9,74.3,761.6,148.9,2009 to 1999
Wet Tropics,Tully,NA,Conservation,2015,1713.5,1272.7,74.3,-0.2,-0,2015 to 2009
Wet Tropics,Tully,NA,Conservation,2021,1684.7,1218.9,72.4,-53.8,-4.2,2021 to 2015
Burdekin,Burdekin,NA,Dryland Agriculture,1999,133517.7,1216,0.9,0,0,1999 to 1999
Burdekin,Burdekin,NA,Dryland Agriculture,2009,134012.4,1269.6,0.9,53.6,4.4,2009 to 1999
Burdekin,Burdekin,NA,Dryland Agriculture,2016,133233.2,1339.7,1,70.1,5.5,2016 to 2009
Burdekin,Burdekin,NA,Dryland Agriculture,2021,130114.9,1375.6,1.1,35.9,2.7,2021 to 2016
Burdekin,Haughton,NA,Dryland Agriculture,1999,4159.6,7.1,0.2,0,0,1999 to 1999
Burdekin,Haughton,NA,Dryland Agriculture,2009,4159.8,6.7,0.2,-0.4,-5.5,2009 to 1999
Burdekin,Haughton,NA,Dryland Agriculture,2016,4157.3,6.5,0.2,-0.2,-3,2016 to 2009
Burdekin,Haughton,NA,Dryland Agriculture,2021,4068.8,0.4,0,-6.1,-94.5,2021 to 2016
Dry Tropics,Black,NA,Dryland Agriculture,1999,1157.6,0.8,0.1,0,0,1999 to 1999
Dry Tropics,Black,NA,Dryland Agriculture,2009,1156.8,1,0.1,0.2,21.9,2009 to 1999
Dry Tropics,Black,NA,Dryland Agriculture,2016,1157.4,1.1,0.1,0.1,13.9,2016 to 2009
Dry Tropics,Black,NA,Dryland Agriculture,2021,1145.9,1.1,0.1,-0,-0,2021 to 2016
Dry Tropics,Ross,NA,Dryland Agriculture,1999,1776.5,1.8,0.1,0,0,1999 to 1999
Dry Tropics,Ross,NA,Dryland Agriculture,2009,1780.1,2.4,0.1,0.6,35.5,2009 to 1999
Dry Tropics,Ross,NA,Dryland Agriculture,2016,1777,2,0.1,-0.4,-17.1,2016 to 2009
Dry Tropics,Ross,NA,Dryland Agriculture,2021,1756.2,0.6,0,-1.4,-70.8,2021 to 2016
Mackay Whitsunday Isaac,Don,NA,Dryland Agriculture,1999,3922.2,0.5,0,0,0,1999 to 1999
Mackay Whitsunday Isaac,Don,NA,Dryland Agriculture,2009,3874.2,0.7,0,0.1,22.7,2009 to 1999
Mackay Whitsunday Isaac,Don,NA,Dryland Agriculture,2016,3867.1,1.5,0,0.9,131.7,2016 to 2009
Mackay Whitsunday Isaac,Don,NA,Dryland Agriculture,2021,3752.8,3.2,0.1,1.7,112,2021 to 2016
Mackay Whitsunday Isaac,O'Connell,NA,Dryland Agriculture,1999,2445.9,0.8,0,0,0,1999 to 1999
Mackay Whitsunday Isaac,O'Connell,NA,Dryland Agriculture,2009,2445.9,14.3,0.6,13.5,1765.7,2009 to 1999
Mackay Whitsunday Isaac,O'Connell,NA,Dryland Agriculture,2016,2445.9,0.7,0,-13.6,-95.4,2016 to 2009
Mackay Whitsunday Isaac,O'Connell,NA,Dryland Agriculture,2021,2446,6.5,0.3,5.9,894.7,2021 to 2016
Mackay Whitsunday Isaac,Pioneer,NA,Dryland Agriculture,1999,1571.1,0.2,0,0,0,1999 to 1999
Mackay Whitsunday Isaac,Pioneer,NA,Dryland Agriculture,2009,1571.1,0.4,0,0.2,80.4,2009 to 1999
Mackay Whitsunday Isaac,Pioneer,NA,Dryland Agriculture,2016,1571.1,0.3,0,-0.1,-31.2,2016 to 2009
Mackay Whitsunday Isaac,Pioneer,NA,Dryland Agriculture,2021,1574.7,1.1,0.1,0.9,324.1,2021 to 2016
Mackay Whitsunday Isaac,Plane,NA,Dryland Agriculture,1999,2559.5,0.8,0,0,0,1999 to 1999
Mackay Whitsunday Isaac,Plane,NA,Dryland Agriculture,2009,2559.5,1.8,0.1,1,137.1,2009 to 1999
Mackay Whitsunday Isaac,Plane,NA,Dryland Agriculture,2016,2559.5,1.3,0,-0.5,-30.4,2016 to 2009
Mackay Whitsunday Isaac,Plane,NA,Dryland Agriculture,2021,2569.8,1.2,0,-0.1,-5,2021 to 2016
Mackay Whitsunday Isaac,Proserpine,NA,Dryland Agriculture,1999,2772.1,1.8,0.1,0,0,1999 to 1999
Mackay Whitsunday Isaac,Proserpine,NA,Dryland Agriculture,2009,2772.1,49.7,1.8,47.9,2704.1,2009 to 1999
Mackay Whitsunday Isaac,Proserpine,NA,Dryland Agriculture,2016,2772.1,5.9,0.2,-43.8,-88.2,2016 to 2009
Mackay Whitsunday Isaac,Proserpine,NA,Dryland Agriculture,2021,2771.6,3,0.1,-2.8,-48.4,2021 to 2016
Wet Tropics,Barron,NA,Dryland Agriculture,1999,2381.9,73,3.1,0,0,1999 to 1999
Wet Tropics,Barron,NA,Dryland Agriculture,2009,2368.8,73.8,3.1,0.8,1.1,2009 to 1999
Wet Tropics,Barron,NA,Dryland Agriculture,2015,2385.5,64.9,2.7,-8.9,-12.1,2015 to 2009
Wet Tropics,Barron,NA,Dryland Agriculture,2021,2193.2,74.3,3.4,9.5,14.6,2021 to 2015
Wet Tropics,Daintree,NA,Dryland Agriculture,1999,2123.2,44.2,2.1,0,0,1999 to 1999
Wet Tropics,Daintree,NA,Dryland Agriculture,2009,2120.5,41.7,2,-2.5,-5.6,2009 to 1999
Wet Tropics,Daintree,NA,Dryland Agriculture,2015,2115.6,40.4,1.9,-1.3,-3.1,2015 to 2009
Wet Tropics,Daintree,NA,Dryland Agriculture,2021,2104.6,38.2,1.8,-2.2,-5.4,2021 to 2015
Wet Tropics,Herbert,NA,Dryland Agriculture,1999,10003.4,665.9,6.7,0,0,1999 to 1999
Wet Tropics,Herbert,NA,Dryland Agriculture,2009,9996.8,691.8,6.9,26,3.9,2009 to 1999
Wet Tropics,Herbert,NA,Dryland Agriculture,2015,9952.5,662.7,6.7,-29.1,-4.2,2015 to 2009
Wet Tropics,Herbert,NA,Dryland Agriculture,2021,9873.2,674.6,6.8,11.9,1.8,2021 to 2015
Wet Tropics,Johnstone,NA,Dryland Agriculture,1999,2460.7,360.1,14.6,0,0,1999 to 1999
Wet Tropics,Johnstone,NA,Dryland Agriculture,2009,2457.4,318.2,12.9,-41.9,-11.6,2009 to 1999
Wet Tropics,Johnstone,NA,Dryland Agriculture,2015,2456.4,293.8,12,-24.4,-7.7,2015 to 2009
Wet Tropics,Johnstone,NA,Dryland Agriculture,2021,2317.8,308.1,13.3,14.3,4.9,2021 to 2015
Wet Tropics,Mossman,NA,Dryland Agriculture,1999,513.5,51.9,10.1,0,0,1999 to 1999
Wet Tropics,Mossman,NA,Dryland Agriculture,2009,498,47.8,9.6,-4.2,-8,2009 to 1999
Wet Tropics,Mossman,NA,Dryland Agriculture,2015,496,46.6,9.4,-1.1,-2.4,2015 to 2009
